['0.40', '0.46', '0.48', '0.50', '0.42', '0.35', '0.44', 'cp']
['0.73', '0.84', '0.48', '0.50', '0.86', '0.58', '0.29', 'om']
['0.66', '0.49', '1.00', '0.50', '0.54', '0.56', '0.36', 'omL']
['0.71', '0.57', '0.48', '0.50', '0.48', '0.35', '0.32', 'pp']
['0.63', '0.71', '0.48', '0.50', '0.60', '0.40', '0.39', 'pp']
['0.75', '0.84', '0.48', '0.50', '0.35', '0.52', '0.33', 'pp']
['0.68', '0.78', '0.48', '0.50', '0.43', '0.44', '0.42', 'pp']
['0.76', '0.73', '0.48', '0.50', '0.44', '0.39', '0.39', 'pp']
['0.63', '0.65', '0.48', '0.50', '0.39', '0.44', '0.35', 'pp']
['0.68', '0.82', '0.48', '0.50', '0.38', '0.65', '0.56', 'pp']
['0.69', '0.66', '0.48', '0.50', '0.41', '0.50', '0.25', 'pp']
['0.67', '0.70', '0.48', '0.50', '0.46', '0.45', '0.33', 'pp']
['0.67', '0.81', '0.48', '0.50', '0.25', '0.42', '0.25', 'pp']
['0.32', '0.39', '0.48', '0.50', '0.53', '0.28', '0.38', 'pp']
['0.69', '0.59', '0.48', '0.50', '0.46', '0.44', '0.52', 'pp']
['0.69', '0.67', '0.48', '0.50', '0.30', '0.39', '0.24', 'pp']
